FID,x,y,adr_pelny,ogolem
120,19.93066976,50.0864632,KROWODERSKICH ZUCHÓW 7,300
121,20.04238616,50.06837238,OSIEDLE NA SKARPIE 7,299
122,20.03797618,50.07698699,OSIEDLE UROCZE 1,299
123,20.03310188,50.07726658,OSIEDLE ZGODY 18,298
124,19.90996766,50.06959167,NAWOJKI 6,295
125,20.01676115,50.0132957,ALEKSANDRY 9,295
126,19.96075435,50.02425861,WALEREGO SŁAWKA 13,295
127,20.02319194,50.07373065,OSIEDLE KOLOROWE 16,294
128,20.00914904,50.09569432,OSIEDLE BOHATERÓW WRZEŚNIA 4,294
129,20.04673176,50.07555753,OSIEDLE SZKOLNE 2,293
130,19.99996978,50.01796744,KS. PIOTRA ŚCIEGIENNEGO 55,293
131,20.02428881,50.01709217,BARBARY 10,292
132,20.006443,50.01970151,LILLI WENEDY 5,291
133,20.00886683,50.01838103,ERAZMA JERZMANOWSKIEGO 10,291
134,20.02171603,50.09323057,GEN. LEOPOLDA OKULICKIEGO 51,291
135,20.01706756,50.07985959,OSIEDLE ALBERTYŃSKIE 38,290
136,19.9783805,50.07349861,ŚLICZNA 12,290
137,19.97942804,50.07797942,FIOŁKOWA 10,289
138,19.96373388,50.06564111,MOGILSKA 23,288
139,19.92826373,50.08841432,KROWODERSKICH ZUCHÓW 17,288
140,19.99851867,50.04384822,MYŚLIWSKA 61,288
141,20.01663651,50.1025733,OSIEDLE PIASTÓW 56B,287
142,20.03862319,50.07189406,OSIEDLE CENTRUM A 1,286
143,19.97934318,50.01698422,SPÓŁDZIELCÓW 11,286
144,20.03809624,50.07283023,OSIEDLE CENTRUM B 1,285
145,20.00735832,50.01495156,LEONIDA TELIGI 16,285
146,19.99134319,50.01231933,ANDRZEJA BADURSKIEGO 15,284
147,20.0073544,50.01946321,LILLI WENEDY 1,283
148,19.99638264,50.02199269,NAD POTOKIEM 8,281
149,20.00811901,50.01894531,ERAZMA JERZMANOWSKIEGO 8,281
150,20.00354658,50.07972216,OSIEDLE AVIA 5,281
151,19.90278879,50.06956676,JULIANA TOKARSKIEGO 1,281
152,20.01424436,50.08017875,OSIEDLE DYWIZJONU 303 62,280
153,20.00960357,50.01783741,ERAZMA JERZMANOWSKIEGO 12,280
154,20.00467929,50.07907046,OSIEDLE AVIA 6,279
155,19.91179526,50.02589034,KOBIERZYŃSKA 95,277
156,19.97841556,50.01702685,SPÓŁDZIELCÓW 12,276
157,20.00873148,50.00650908,LUDWIKA RYDYGIERA 12,276
158,19.99767213,50.01622785,KS. PIOTRA ŚCIEGIENNEGO 70,276
159,19.96809528,50.03391867,WIELICKA 73,274
160,20.01710742,50.09739995,OSIEDLE PIASTÓW 14,274
161,19.98791008,50.07490719,UŁANÓW 5,274
162,20.02922248,50.08162484,OSIEDLE PRZY ARCE 19,273
163,19.95141998,50.04701516,NADWIŚLAŃSKA 11,273
164,19.95010628,50.0945332,SIEWNA 23,273
165,20.00829277,50.01674195,LEONIDA TELIGI 23,273
166,19.93471086,50.08427474,BRATYSŁAWSKA 2,272
167,19.95821666,50.10104237,KUŹNICY KOŁŁĄTAJOWSKIEJ 16,272
168,19.92603216,50.08835714,KROWODERSKICH ZUCHÓW 23,271
169,19.93056645,50.08602227,KROWODERSKICH ZUCHÓW 5,271
170,19.97685957,50.0734253,ŚLICZNA 28,271
171,20.04512218,50.07330805,OSIEDLE HUTNICZE 6,270
172,19.95008278,50.01220855,POR. HALSZKI 9,270
173,19.97570695,50.0816171,PILOTÓW 24,269
174,20.0178359,50.08770291,OSIEDLE NA LOTNISKU 21,268
175,19.95478911,50.01103814,WINCENTEGO WITOSA 33,267
176,19.99993823,50.04125451,LIPSKA 51,267
177,19.97335935,50.0814837,MŁYŃSKA 2,267
178,20.0170997,50.09776052,OSIEDLE PIASTÓW 15,266
179,19.9766862,50.01068665,ADAMA BOCHENKA 12B,266
180,20.00715676,50.01538265,LEONIDA TELIGI 18,265
181,19.97710999,50.08178687,PILOTÓW 26,265
182,20.01803003,50.08159545,OSIEDLE ALBERTYŃSKIE 29,264
183,20.01900141,50.08392604,OSIEDLE ALBERTYŃSKIE 21,264
184,19.97559592,50.09018827,MARIANA SŁONECKIEGO 3,264
185,20.0053634,50.0685461,NOWOHUCKA 3,264
186,20.04966267,50.07646092,OSIEDLE SZKOLNE 33,263
187,19.90492806,50.08696832,MARII JAREMY 25,263
188,19.9738275,50.01707077,BIAŁORUSKA 6,263
189,19.97154102,50.08802728,DOBREGO PASTERZA 110,263
190,19.99632368,50.02340382,BIEŻANOWSKA 78,263
191,19.97854083,50.08204664,PILOTÓW 28,263
192,19.9778999,50.0911188,KWARTOWA 3A,263
193,20.0109871,50.06501414,CENTRALNA 51A,262
194,19.97200906,50.01231806,ŁUŻYCKA 57,262
195,20.02013711,50.09641697,OSIEDLE MISTRZEJOWICE 10,262
196,19.96416829,50.0097556,KORDIANA 56,262
197,20.01437162,50.09241834,OSIEDLE KALINOWE 13,261
198,20.01305021,50.09164976,OSIEDLE KALINOWE 16,261
199,20.02814111,50.08309828,OSIEDLE PRZY ARCE 9,261
200,20.01374067,50.01888896,TELIMENY 15,261
201,20.01900752,50.09804578,OSIEDLE PIASTÓW 18,261
202,19.93021516,50.04423722,KOMANDOSÓW 6,261
203,20.02988206,50.08181854,OSIEDLE PRZY ARCE 17,260
204,19.89027733,50.01435827,DR. JANA PILTZA 43,260
205,20.00533005,50.01967872,LILLI WENEDY 9,259
206,20.0208166,50.08376836,OSIEDLE ALBERTYŃSKIE 16,258
207,19.94604336,50.09481579,JÓZEFA MACKIEWICZA 19,258
208,20.00012955,50.09624863,OSIEDLE ZŁOTEGO WIEKU 11,258
209,19.9436826,50.04625375,KRAKOWSKA 55,258
210,20.0174935,50.08677005,OSIEDLE NA LOTNISKU 19,257
211,20.03248432,50.07508023,OSIEDLE HANDLOWE 8,257
212,20.0357848,50.07891025,OSIEDLE UROCZE 7,257
213,19.90541067,50.08365549,ELIASZA RADZIKOWSKIEGO 66,257
214,20.03704677,50.0729587,OSIEDLE CENTRUM C 1,257
215,19.91999736,50.07955644,WROCŁAWSKA 66,256
216,19.89965936,50.06943615,ARMII KRAJOWEJ 7,256
217,19.99846028,50.04315471,MYŚLIWSKA 63,256
218,19.97019568,50.03119124,WIELICKA 89,255
219,19.92562667,50.08904697,KROWODERSKICH ZUCHÓW 24,254
220,20.01008544,50.01231997,JANA KURCZABA 37,254
221,19.99364418,50.09007975,OSIEDLE OŚWIECENIA 16,254
222,19.88143958,50.07830157,NA BŁONIE 15,254
223,20.00269062,50.0807947,BOLESŁAWA ORLIŃSKIEGO 8,254
224,20.01793696,50.10252995,OSIEDLE PIASTÓW 56C,254
225,20.02207234,50.06617089,BP. PIOTRA TOMICKIEGO 24,254
226,19.97401181,50.01108695,ŁUŻYCKA 69,253
227,19.90261525,50.07063555,ARMII KRAJOWEJ 2,252
228,19.94997503,50.09409713,SIEWNA 23A,252
229,19.98811384,50.01696594,POLONIJNA 11,252
230,19.95148461,50.00896557,MARII I BOLESŁAWA WYSŁOUCHÓW 19,251
231,20.00323488,50.01688127,KONRADA WALLENRODA 59,251
232,19.94804226,50.00768566,POR. HALSZKI 28,251
233,19.92954372,50.03016667,JANA BROŻKA 26,250
234,20.01949867,50.08245816,OSIEDLE ALBERTYŃSKIE 22,250
235,20.03092705,50.08246515,OSIEDLE PRZY ARCE 13,249
236,19.99400044,50.04970129,LASÓWKA 40,249
237,20.02711945,50.06772315,BP. PIOTRA TOMICKIEGO 13,249
238,20.00266087,50.07984115,BOLESŁAWA ORLIŃSKIEGO 10,249
239,19.97173422,50.0173246,WŁOSKA 17,248
240,19.88173361,50.0786983,NA BŁONIE 13,248
241,20.00416832,50.01730404,KONRADA WALLENRODA 57,247
242,20.00339328,50.01774687,KONRADA WALLENRODA 55,247
243,19.97283192,50.01686878,BIAŁORUSKA 8,247
244,19.98531536,50.01599881,OKÓLNA 26,247
245,20.02920742,50.08346589,OSIEDLE PRZY ARCE 11,246
246,20.00964843,50.01291642,JANA KURCZABA 33,246
247,20.01885581,50.09752016,OSIEDLE PIASTÓW 19,246
248,20.0176326,50.08276694,OSIEDLE ALBERTYŃSKIE 28,245
249,19.9191957,50.0779225,MAZOWIECKA 125,245
250,19.90777179,50.0268752,STEFANA GROTA-ROWECKIEGO 51,245
251,20.01070732,50.01265135,JANA KURCZABA 35,245
252,20.00969808,50.09880202,OSIEDLE BOHATERÓW WRZEŚNIA 39,245
253,19.95683602,50.02036513,SEBASTIANA KLONOWICA 24,245
254,19.88252613,50.08064731,NA BŁONIE 3,244
255,20.00684764,50.01166036,JANA KURCZABA 14,243
256,19.97494877,50.09201334,ROZRYWKA 20,243
257,20.01148312,50.10082011,OSIEDLE BOHATERÓW WRZEŚNIA 32,243
258,20.0286668,50.08328312,OSIEDLE PRZY ARCE 10,242
259,19.97813002,50.01593025,SPÓŁDZIELCÓW 15,242
260,19.99552325,50.04222728,PRZEWÓZ 38,242
261,20.00520818,50.01546287,LEONIDA TELIGI 10,241
262,19.97887158,50.09093032,KWARTOWA 3,241
263,20.01032198,50.10228717,OSIEDLE BOHATERÓW WRZEŚNIA 68,241
264,19.97432496,50.08239148,SADZAWKI 5,240
265,19.94930245,50.08243993,ALEJA 29 LISTOPADA 48A,240
266,19.88842458,50.0781411,ARMII KRAJOWEJ 83,239
267,19.91132119,50.0572011,ALEJA MARSZAŁKA FERDINANDA FOCHA 39,239
268,19.93823552,50.04412244,LUDWINOWSKA 11,238
269,19.99361286,50.04999626,LASÓWKA 44,238
270,19.90552212,50.08685658,MARII JAREMY 23,238
271,20.01646487,50.08176544,OSIEDLE ALBERTYŃSKIE 30,237
272,19.92923889,50.08803111,KLUCZBORSKA 5,237
273,20.00235721,50.01720559,KONRADA WALLENRODA 53,237
274,19.99138135,50.09394294,OSIEDLE OŚWIECENIA 50,237
275,20.02333842,50.06616183,BP. PIOTRA TOMICKIEGO 22,237
276,20.01348446,50.09190135,OSIEDLE KALINOWE 15,236
277,20.00358845,50.01868845,LILLI WENEDY 15,236
278,20.00398105,50.08048879,OSIEDLE AVIA 3,236
279,19.99806632,50.08461236,STANISŁAWA SKARŻYŃSKIEGO 2,236
280,20.01768172,50.08723334,OSIEDLE NA LOTNISKU 20,235
281,19.92621399,50.08793358,KROWODERSKICH ZUCHÓW 25,235
282,19.99712903,50.02202077,NAD POTOKIEM 6,235
283,19.97447338,50.07302406,ŚLICZNA 34B,235
284,20.03459855,50.07362521,OSIEDLE CENTRUM D 2,234
285,19.97618475,50.09075358,MARIANA SŁONECKIEGO 6,234
286,19.9204305,50.04712435,ADOLFA NOWACZYŃSKIEGO 2,234
287,20.03997283,50.07317837,OSIEDLE CENTRUM B 10,233
288,19.94709748,50.09570216,JÓZEFA MACKIEWICZA 25,233
289,19.95060126,50.09288757,SIEWNA 21A,233
290,19.99705594,50.0233273,BIEŻANOWSKA 84,233
291,19.88562189,50.0845492,WIZJONERÓW 2,233
292,19.99236184,50.0910962,OSIEDLE OŚWIECENIA 12,232
293,20.0303863,50.08216017,OSIEDLE PRZY ARCE 15,232
294,20.01644246,50.08737192,OSIEDLE NA LOTNISKU 17,232
295,20.00448875,50.01931147,LILLI WENEDY 11,232
296,20.02153585,50.09954553,OSIEDLE PIASTÓW 28,232
297,20.01810676,50.09619253,OSIEDLE MISTRZEJOWICE 14,232
298,19.99410106,50.09128904,OSIEDLE OŚWIECENIA 9,230
299,19.90350123,50.08390288,ELIASZA RADZIKOWSKIEGO 74,230
300,19.93281047,50.08347867,JÓZEFA WYBICKIEGO 1,230
301,19.96312905,50.08161642,BROGI 40,230
302,19.97234252,50.09323301,STRZELCÓW 11A,230
303,20.01899598,50.06411632,SOŁTYSOWSKA 12A,230
304,20.01785599,50.06411795,SOŁTYSOWSKA 12B,230
305,20.01434899,50.0197972,TELIMENY 11,229
306,19.90492262,50.0842264,KAZIMIERZA PUŻAKA 2,229
307,20.04726394,50.07952713,OSIEDLE SZKOLNE 19,229
308,20.02484656,50.08961397,OSIEDLE JAGIELLOŃSKIE 37,228
309,20.01247579,50.08683029,OSIEDLE JÓZEFA STRUSIA 2,228
310,20.00692623,50.01247968,JANA KURCZABA 12,228
311,20.01765297,50.10342463,OSIEDLE PIASTÓW 63J,228
312,20.01173067,50.06707917,CENTRALNA 38A,227
313,20.03097431,50.07250105,OSIEDLE HANDLOWE 1,227
314,20.04088276,50.07835369,OSIEDLE SŁONECZNE 14,227
315,19.96264537,50.0050906,JAKUBA BOJKI 10,227
316,19.95971405,50.01009286,TURNIEJOWA 65A,227
317,19.946749,50.09541946,JÓZEFA MACKIEWICZA 23,227
318,20.00724831,50.01568475,LEONIDA TELIGI 20,227
319,20.01115021,50.01222354,ERAZMA JERZMANOWSKIEGO 36,227
320,19.98348365,50.01801772,NA KOZŁÓWCE 12,227
321,20.01886228,50.09842656,OSIEDLE PIASTÓW 17,227
322,19.99984724,50.09553892,OSIEDLE ZŁOTEGO WIEKU 9,227
323,19.9239982,50.09312294,HENRYKA PACHOŃSKIEGO 4A,227
324,20.01017457,50.07270268,NARCIARSKA 2E,226
325,20.01626487,50.08699957,OSIEDLE NA LOTNISKU 18,226
326,20.00860794,50.087847,OSIEDLE JÓZEFA STRUSIA 15,226
327,19.96731082,50.03362139,WIELICKA 75,226
328,20.00011571,50.09660525,OSIEDLE ZŁOTEGO WIEKU 12,226
329,19.97293776,50.09461289,STRZELCÓW 15B,226
330,19.98329943,50.01596404,OKÓLNA 20,226
331,19.90644192,50.0878133,MARII JAREMY 14B,225
332,19.9587387,50.00868593,TURNIEJOWA 70,225
333,19.97657636,50.09285521,ROZRYWKA 24,225
334,20.01493296,50.00900031,PODŁĘSKA 11B,225
335,19.91913794,50.07961503,WROCŁAWSKA 68,225
336,20.03846301,50.07393708,OSIEDLE CENTRUM B 2,224
337,20.01436763,50.01936447,TELIMENY 13,224
338,20.02075439,50.01762378,DUŻA GÓRA 35,224
339,19.93609923,50.09426814,BIAŁOPRĄDNICKA 17,224
340,19.92639362,50.04274582,SŁOMIANA 9,224
341,20.02666208,50.07388311,OSIEDLE KOLOROWE 11A,223
342,20.01149868,50.01305881,ERAZMA JERZMANOWSKIEGO 32,223
343,20.00069116,50.08909744,OSIEDLE TYSIĄCLECIA 1,223
344,19.88475149,50.08055492,NA BŁONIE 3B,223
345,19.92529956,50.08936827,KROWODERSKICH ZUCHÓW 26,222
346,19.97591458,50.09233343,ROZRYWKA 22,222
347,20.00401774,50.09579679,OSIEDLE ZŁOTEGO WIEKU 26,222
348,19.99722927,50.03610048,GROCHOWA 17,222
349,20.01026827,50.08716345,OSIEDLE JÓZEFA STRUSIA 11,221
350,19.90940783,50.08436413,STANISŁAWA LENTZA 6,221
351,19.96389321,50.04874086,TADEUSZA ROMANOWICZA 5,221
352,19.99775371,50.02311371,BIEŻANOWSKA 86,221
353,19.96680305,50.01585165,BIAŁORUSKA 19,221
354,19.88871131,50.07854786,ARMII KRAJOWEJ 85,221
355,19.90504351,50.00277662,BORKOWSKA 27,221
356,20.00867048,50.08825951,OSIEDLE JÓZEFA STRUSIA 16,220
357,19.91000166,50.08424424,STANISŁAWA LENTZA 4,220
358,19.95184303,50.09160249,SIEWNA 21B,220
359,20.00243014,50.09050314,OSIEDLE TYSIĄCLECIA 19,220
360,19.98290757,50.07684127,UGOREK 4,220
361,20.01392053,50.09215656,OSIEDLE KALINOWE 14,219
362,20.01199732,50.0124793,ERAZMA JERZMANOWSKIEGO 34,219
363,20.01248681,50.08717834,OSIEDLE JÓZEFA STRUSIA 3,219
364,19.92805696,50.08882903,KROWODERSKICH ZUCHÓW 19,219
365,19.92946781,50.0257051,ODRZAŃSKA 6,218
366,19.90957943,50.02446367,ZACHODNIA 4,218
367,19.95634515,50.00627884,STANISŁAWA STOJAŁOWSKIEGO 35,218
368,20.01419249,50.09649935,OSIEDLE PIASTÓW 3,218
369,19.98310727,50.01672012,OKÓLNA 3,218
370,19.98394941,50.01595478,OKÓLNA 22,218
371,19.91226364,50.07354784,KRÓLEWSKA 92,218
372,20.02322097,50.0935503,GEN. LEOPOLDA OKULICKIEGO 53,218
373,19.97437935,50.09054909,STRZELCÓW 4A,218
374,20.01597779,50.08612202,OSIEDLE NA LOTNISKU 8,217
375,20.03825883,50.07881518,OSIEDLE UROCZE 11,217
376,20.06100251,50.0932362,OSIEDLE NA WZGÓRZACH 43,217
377,20.04622113,50.07425083,OSIEDLE HUTNICZE 3,217
378,19.92373871,50.09367331,HENRYKA PACHOŃSKIEGO 4,217
379,19.97164975,50.03315583,DWORCOWA 3,217
380,20.00002547,50.09587431,OSIEDLE ZŁOTEGO WIEKU 10,217
381,19.95390367,50.08365968,ANTONIEGO FERTNERA 1,217
382,19.98212339,50.07658093,UGOREK 8,217
383,19.93756433,50.07253212,HELCLÓW 2,217
384,20.00032101,50.01579038,REPUBLIKI KORCZAKOWSKIEJ 19,217
385,19.92074784,50.07885981,RACŁAWICKA 54,216
386,20.01722417,50.09812869,OSIEDLE PIASTÓW 16,216
387,19.95790828,50.08368603,CELAROWSKA 16,216
388,19.98351715,50.07749231,UŁANÓW 46,216
389,20.0441015,50.07200297,OSIEDLE OGRODOWE 2,216
390,20.00552791,50.08063276,OSIEDLE AVIA 2,216
391,19.97072654,50.01716621,WŁOSKA 19,215
392,19.9550908,50.08236508,CELAROWSKA 30,215
393,19.96892231,50.09380207,POWSTAŃCÓW 30A,215
394,19.92027053,50.01903017,ZDUNÓW 18,215
395,20.01420554,50.10155937,OSIEDLE PIASTÓW 54,214
396,20.01109279,50.06786682,CENTRALNA 34,214
397,20.02202677,50.08926397,OSIEDLE JAGIELLOŃSKIE 4,214
398,19.95242897,50.00874905,MARII I BOLESŁAWA WYSŁOUCHÓW 17,214
399,20.00262107,50.0898264,OSIEDLE TYSIĄCLECIA 22,214
400,19.97629477,50.01180337,ADAMA BOCHENKA 14,214
401,19.99484615,50.04530646,MYŚLIWSKA 66,214
402,20.01689737,50.08027642,OSIEDLE ALBERTYŃSKIE 37,213
403,20.00834189,50.08749636,OSIEDLE JÓZEFA STRUSIA 14,213
404,19.92974597,50.02503031,ODRZAŃSKA 10,213
405,19.92750989,50.08990782,KROWODERSKICH ZUCHÓW 18,213
406,19.97761341,50.01655672,SPÓŁDZIELCÓW 17,213
407,19.98562722,50.01690672,OKÓLNA 13,213
408,19.91596447,50.03224372,PYCHOWICKA 18,213
409,19.94976179,50.01849448,JANA SAS-ZUBRZYCKIEGO 3,212
410,20.00567757,50.01623775,LEONIDA TELIGI 14,212
411,19.93022189,50.04523436,KOMANDOSÓW 3,212
412,19.99058033,50.09395869,OSIEDLE OŚWIECENIA 49,212
413,19.94781568,50.00980475,FRANCISZKA BUJAKA 12,212
414,20.05672332,50.02002694,HENRYKA I KAROLA CZECZÓW 20,212
415,20.00748499,50.0613817,GALICYJSKA 3D,212
416,20.05120145,50.0740234,OSIEDLE STALOWE 14,211
417,19.93168527,50.09468936,HENRYKA PACHOŃSKIEGO 14,211
418,19.98460729,50.01595325,OKÓLNA 24,211
419,20.01406252,50.07882095,OSIEDLE 2 PUŁKU LOTNICZEGO 1E,211
420,20.02569095,50.08835164,OSIEDLE JAGIELLOŃSKIE 29,210
421,19.92859168,50.02869141,BORSUCZA 5,210
422,20.00544985,50.01587422,LEONIDA TELIGI 12,210
423,19.99159915,50.09477131,OSIEDLE OŚWIECENIA 56,210
424,19.98721371,50.01751765,POLONIJNA 7,210
425,19.99679133,50.09226363,OSIEDLE TYSIĄCLECIA 61,209
